iter	Passed	Remaining
905	9001	933
906	9011	923
907	9022	914
908	9032	904
909	9042	894
910	9051	884
911	9061	874
912	9071	864
913	9082	854
914	9092	844
915	9101	834
916	9110	824
917	9119	814
918	9130	804
919	9140	794
920	9149	784
921	9160	774
922	9170	765
923	9178	754
924	9187	744
925	9198	735
926	9207	725
927	9218	715
928	9231	705
929	9241	695
930	9252	685
931	9261	675
932	9272	665
933	9282	655
934	9293	646
935	9302	636
936	9311	626
937	9319	616
938	9328	605
939	9339	596
940	9348	586
941	9356	576
942	9366	566
943	9377	556
944	9385	546
945	9395	536
946	9405	526
947	9415	516
948	9425	506
949	9437	496
950	9447	486
951	9457	476
952	9467	466
953	9477	457
954	9488	447
955	9498	437
956	9507	427
957	9517	417
958	9526	407
959	9535	397
960	9545	387
961	9555	377
962	9564	367
963	9574	357
964	9584	347
965	9593	337
966	9602	327
967	9613	317
968	9623	307
969	9633	297
970	9643	288
971	9654	278
972	9664	268
973	9674	258
974	9685	248
975	9696	238
976	9705	228
977	9714	218
978	9724	208
979	9735	198
980	9745	188
981	9755	178
982	9766	168
983	9774	158
984	9785	149
985	9796	139
986	9807	129
987	9817	119
988	9828	109
989	9839	99
990	9850	89
991	9860	79
992	9868	69
993	9877	59
994	9887	49
995	9898	39
996	9908	29
997	9919	19
998	9930	9
999	9939	0
